location,city,country,utc,local,latitude,longitude,no2,co,pm25,pm10,o3,unit,attribution
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T10:00:00.000Z,2020-04-30T15:30:00+05:30,28.6573814,77.1585447,10.89,2010,5.5,0,17.57,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T08:00:00.000Z,2020-04-30T13:30:00+05:30,28.6573814,77.1585447,11.95,1740,59.71,0,18.6,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T07:45:00.000Z,2020-04-30T13:15:00+05:30,28.6573814,77.1585447,11.87,1750,62.79,0,11.37,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T07:30:00.000Z,2020-04-30T13:00:00+05:30,28.6573814,77.1585447,12.29,1740,67.33,0,12.83,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T06:45:00.000Z,2020-04-30T12:15:00+05:30,28.6573814,77.1585447,13.91,1780,81.52,0,4.59,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T06:30:00.000Z,2020-04-30T12:00:00+05:30,28.6573814,77.1585447,15.2,1760,77.13,0,8.91,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T06:15:00.000Z,2020-04-30T11:45:00+05:30,28.6573814,77.1585447,15.61,1730,83.03,0,7.56,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T05:45:00.000Z,2020-04-30T11:15:00+05:30,28.6573814,77.1585447,16.27,1720,88.64,0,3.56,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T05:30:00.000Z,2020-04-30T11:00:00+05:30,28.6573814,77.1585447,16.31,1720,87.74,0,3.93,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T05:00:00.000Z,2020-04-30T10:30:00+05:30,28.6573814,77.1585447,24.53,1750,66.75,0,5.48,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
